product_id,name,price,category1,category2,category3
B001,美味しい水 500ml,59,食品,飲料水,水
B002,美味しい水 2l,120,食品,飲料水,水
B003,美味しい水 2l 6本セット,690,食品,飲料水,水
B004,パスタ 1kg,399,食品,麺,パスタ
B005,きゅうり 3本入り,159,食品,野菜,きゅうり
B006,トマト 大,250,食品,野菜,トマト
B007,トマト 小,150,食品,野菜,トマト
B008,鉛筆 5本セット,300,日用品,文房具,筆記用具
B009,消しゴム,100,日用品,文房具,筆記用具
B010,シャーペン,150,日用品,文房具,筆記用具
B011,ボールペン,100,日用品,文房具,筆記用具
B012,筆箱,1000,日用品,文房具,筆記用具
B013,万年筆,3000,日用品,文房具,筆記用具
B014,手帳,2500,日用品,文房具,ノート
B015,レターセット,400,日用品,文房具,ノート
B016,ノート 5冊セット,500,日用品,文房具,ノート
B017,シャンプー 340ml,700,日用品,美容,ヘアケア
B018,コンディショナー 340ml,700,日用品,美容,ヘアケア
B019,ボディソープ 300ml,300,日用品,美容,ボディケア
B020,入浴剤 30袋詰め合わせ,1000,日用品,美容,ボディケア
B021,ボディクリーム,1500,日用品,美容,ボディケア
B022,ハンドクリーム,500,日用品,美容,スキンケア
B023,化粧水,10000,日用品,美容,スキンケア
B024,乳液,12000,日用品,美容,スキンケア
B025,ナイトクリーム,15000,日用品,美容,スキンケア
B026,美容液,13000,日用品,美容,スキンケア
B027,美容マスク 5枚セット,10000,日用品,美容,スキンケア
B028,炊飯器,12000,日用品,キッチン,キッチン家電
B029,電子レンジ,29000,日用品,キッチン,キッチン家電
B030,トースター,9000,日用品,キッチン,キッチン家電
B031,フライパン,3000,日用品,キッチン,調理器具
B032,鍋,2400,日用品,キッチン,調理器具
B033,箸 2セット,1500,日用品,キッチン,調理器具
B034,スプーン 2セット,1000,日用品,キッチン,食器
B035,フォーク 2セット,1000,日用品,キッチン,食器
B036,コースター 5枚セット,800,日用品,キッチン,食器
B037,箸置き 5個セット,1500,日用品,キッチン,食器
B038,食器セット,4400,日用品,キッチン,食器
B039,マグカップセット,5500,日用品,キッチン,食器
B040,ホワイトプレート22cm,4200,日用品,キッチン,食器
B041,ペアグラス,20000,日用品,キッチン,食器
B042,食器棚　横幅90cm,22000,インテリア,家具,棚
B043,テレビ台　150cm,11000,インテリア,家具,台
B044,レザーソファ３人掛け,35000,インテリア,家具,ソファ
B045,デスクチェア,5000,インテリア,家具,椅子
B046,ワンピース,4000,ファッション,衣服,ワンピース
B047,アロハシャツ,3200,ファッション,衣服,トップス
B048,靴下３足セット,1000,ファッション,衣服,靴下
B049,腕時計,15000,ファッション,アクセサリー,時計
B050,トートバッグ,30000,ファッション,カバン,トートバッグ
B051,パンプス,3000,ファッション,シューズ,パンプス
B052,CD 10枚セット,1500,電化製品,娯楽,音楽映像
B053,DVD 10枚セット,3000,電化製品,娯楽,音楽映像
B054,ゲームソフト,6000,電化製品,ゲーム,ソフト
B055,ゲーム機,30000,電化製品,ゲーム,本体
B056,ドライヤー,4000,電化製品,美容,ヘアケア
B057,美顔器,23000,電化製品,美容,スキンケア
B058,ヘアアイロン,6000,電化製品,美容,ヘアケア
B059,電動シェイバー,5000,電化製品,美容,スキンケア
B060,水洗い電動シェイバー,6000,電化製品,美容,スキンケア